number;title;kp_rating;imbd_rating;year;url;_utc_timestamp
331;Невероятные приключения итальянцев в России;8.051;7.7;1973;https://www.kinopoisk.ru/film/46421;2020-01-03 11:24:19
444;Небо над Берлином;7.932;8.0;1987;https://www.kinopoisk.ru/film/8403;2020-01-03 11:24:27
280;Небесный замок Лапута;8.243;8.0;1986;https://www.kinopoisk.ru/film/1846;2020-01-03 11:24:19
276;Не может быть!;8.126;7.7;1975;https://www.kinopoisk.ru/film/46368;2020-01-03 11:24:19
7;Начало;8.663;8.8;2010;https://www.kinopoisk.ru/film/447301;2020-01-03 11:24:11
143;Назад в будущее 3;8.168;7.4;1990;https://www.kinopoisk.ru/film/7103;2020-01-03 11:24:11
82;Назад в будущее 2;8.288;7.8;1989;https://www.kinopoisk.ru/film/5502;2020-01-03 11:24:11
21;Назад в будущее;8.626;8.5;1985;https://www.kinopoisk.ru/film/476;2020-01-03 11:24:11
277;Навсикая из долины ветров;8.112;8.1;1984;https://www.kinopoisk.ru/film/8240;2020-01-03 11:24:19
147;На несколько долларов больше;8.167;8.3;1965;https://www.kinopoisk.ru/film/8190;2020-01-03 11:24:11
404;На игле;7.939;8.1;1995;https://www.kinopoisk.ru/film/515;2020-01-03 11:24:27
441;На войне как на войне;8.223;8.0;1968;https://www.kinopoisk.ru/film/46285;2020-01-03 11:24:27
340;Мэри и Макс;7.866;8.1;2009;https://www.kinopoisk.ru/film/378246;2020-01-03 11:24:19
387;Мэверик;8.094;7.0;1994;https://www.kinopoisk.ru/film/4378;2020-01-03 11:24:19
233;Мулан;8.065;7.6;1998;https://www.kinopoisk.ru/film/5277;2020-01-03 11:24:19
245;Мужики!..;8.088;7.6;1981;https://www.kinopoisk.ru/film/46745;2020-01-03 11:24:19
376;Мстители: Война бесконечности;7.867;8.5;2018;https://www.kinopoisk.ru/film/843649;2020-01-03 11:24:19
398;Моя прекрасная леди;8.06;7.8;1964;https://www.kinopoisk.ru/film/7666;2020-01-03 11:24:19
336;Мотылек;8.019;8.0;1973;https://www.kinopoisk.ru/film/4525;2020-01-03 11:24:19
307;Мосты округа Мэдисон;7.977;7.6;1995;https://www.kinopoisk.ru/film/1886;2020-01-03 11:24:19
429;Мост Ватерлоо;8.042;7.8;1940;https://www.kinopoisk.ru/film/16759;2020-01-03 11:24:27
66;Москва слезам не верит;8.373;8.1;1979;https://www.kinopoisk.ru/film/46708;2020-01-03 11:24:11
483;Море внутри;7.814;8.0;2004;https://www.kinopoisk.ru/film/41830;2020-01-03 11:24:27
55;Молчание ягнят;8.331;8.6;1990;https://www.kinopoisk.ru/film/345;2020-01-03 11:24:11
180;Мой сосед Тоторо;8.189;8.2;1988;https://www.kinopoisk.ru/film/8221;2020-01-03 11:24:11
122;Могила светлячков;8.178;8.5;1988;https://www.kinopoisk.ru/film/8219;2020-01-03 11:24:11
356;Мне двадцать лет;8.106;7.8;1964;https://www.kinopoisk.ru/film/46660;2020-01-03 11:24:19
343;Мимино;8.064;8.2;1977;https://www.kinopoisk.ru/film/46638;2020-01-03 11:24:19
337;Метрополис;8.045;8.3;1927;https://www.kinopoisk.ru/film/417;2020-01-03 11:24:19
128;Меня зовут Кхан;8.096;8.0;2010;https://www.kinopoisk.ru/film/406340;2020-01-03 11:24:11
392;Мемуары гейши;7.965;7.4;2005;https://www.kinopoisk.ru/film/77132;2020-01-03 11:24:19
218;Медведь;7.994;7.7;1988;https://www.kinopoisk.ru/film/22907;2020-01-03 11:24:19
306;Мачеха;8.014;6.8;1998;https://www.kinopoisk.ru/film/1949;2020-01-03 11:24:19
457;Мачеха;8.093;7.2;1973;https://www.kinopoisk.ru/film/46494;2020-01-03 11:24:27
